Record ID,timestamp,intersection_id,intersection_name,latitude,longitude,vehicle_count,average_speed,signal_cycle_time,green_time,yellow_time,red_time,weather_condition,day_of_week,is_holiday,event,pollution_level,car_count,bus_count,truck_count,motorcycle_count,Hour of the day
127,1/1/2023 2:00,7,Phaphamau,25.4945,81.8686,66,38.21,120,56,4,60,Clear,Sunday,1,,1.18,35,5,6,20,2
131,1/1/2023 2:10,1,Civil Lines,25.4486,81.8333,58,39.74,120,61,6,53,Clear,Sunday,1,New Year Celebration,1.4,33,8,8,9,2
135,1/1/2023 2:10,5,Naini Bridge,25.4088,81.8592,68,44.28,120,57,5,58,Clear,Sunday,1,,1.42,43,10,3,12,2
139,1/1/2023 2:10,9,MNNIT Gate,25.492,81.8639,78,39.64,120,59,4,57,Clear,Sunday,1,,1.86,46,14,5,13,2
140,1/1/2023 2:10,10,Minto Park,25.4352,81.882,33,51.47,120,57,3,60,Clear,Sunday,1,,0.62,19,3,3,8,2
142,1/1/2023 2:20,2,Katra,25.455,81.8463,93,33.71,120,60,3,57,Clear,Sunday,1,New Year Celebration,1.95,54,9,12,18,2
145,1/1/2023 2:20,5,Naini Bridge,25.4088,81.8592,80,37.1,120,56,5,59,Clear,Sunday,1,,1.48,52,6,8,14,2
146,1/1/2023 2:20,6,Allahabad Junction,25.4358,81.8307,77,38.75,120,66,4,50,Clear,Sunday,1,,1.3,54,3,9,11,2
148,1/1/2023 2:20,8,Jhunsi,25.4326,81.9061,31,47.18,120,62,5,53,Clear,Sunday,1,,0.39,21,1,1,8,2
150,1/1/2023 2:20,10,Minto Park,25.4352,81.882,47,46.03,120,56,4,60,Clear,Sunday,1,,0.87,23,3,6,15,2
152,1/1/2023 2:30,2,Katra,25.455,81.8463,22,48.88,120,56,6,58,Heatwave,Sunday,1,New Year Celebration,0.35,12,1,2,7,2
153,1/1/2023 2:30,3,Chowk,25.4314,81.8437,55,42.98,120,59,5,57,Heatwave,Sunday,1,,0.96,31,2,8,14,2
155,1/1/2023 2:30,5,Naini Bridge,25.4088,81.8592,50,41.5,120,62,5,53,Heatwave,Sunday,1,,0.9,26,5,3,16,2
156,1/1/2023 2:30,6,Allahabad Junction,25.4358,81.8307,50,37.85,120,58,4,58,Heatwave,Sunday,1,,0.73,40,0,6,4,2
157,1/1/2023 2:30,7,Phaphamau,25.4945,81.8686,49,41.58,120,59,4,57,Heatwave,Sunday,1,,0.9,30,3,6,10,2
158,1/1/2023 2:30,8,Jhunsi,25.4326,81.9061,46,39.72,120,61,5,54,Heatwave,Sunday,1,,1.16,26,8,5,7,2
159,1/1/2023 2:30,9,MNNIT Gate,25.492,81.8639,17,50.02,120,57,5,58,Heatwave,Sunday,1,,0.21,15,0,1,1,2
160,1/1/2023 2:30,10,Minto Park,25.4352,81.882,41,41.94,120,57,5,58,Heatwave,Sunday,1,,0.65,25,1,5,10,2
161,1/1/2023 2:40,1,Civil Lines,25.4486,81.8333,90,33.38,120,61,5,54,Clear,Sunday,1,New Year Celebration,2.05,52,14,7,17,2
163,1/1/2023 2:40,3,Chowk,25.4314,81.8437,46,42.23,120,53,6,61,Clear,Sunday,1,,1.01,23,4,8,11,2
166,1/1/2023 2:40,6,Allahabad Junction,25.4358,81.8307,53,42.55,120,59,5,56,Clear,Sunday,1,,1.23,30,10,2,11,2
173,1/1/2023 2:50,3,Chowk,25.4314,81.8437,57,38.27,120,71,3,46,Light Rain,Sunday,1,,1.03,38,5,4,10,2
174,1/1/2023 2:50,4,Tagore Town,25.4675,81.8867,31,43.64,120,64,5,51,Light Rain,Sunday,1,,0.44,21,1,2,7,2
176,1/1/2023 2:50,6,Allahabad Junction,25.4358,81.8307,56,33.65,120,66,3,51,Light Rain,Sunday,1,,1.14,32,7,4,13,2
178,1/1/2023 2:50,8,Jhunsi,25.4326,81.9061,25,45.94,120,60,5,55,Light Rain,Sunday,1,,0.43,17,1,3,4,2
182,1/1/2023 3:00,2,Katra,25.455,81.8463,100,30.58,120,58,5,57,Cold Wave,Sunday,1,New Year Celebration,1.62,68,6,7,19,3
183,1/1/2023 3:00,3,Chowk,25.4314,81.8437,46,43.56,120,60,6,54,Cold Wave,Sunday,1,,0.97,28,5,5,8,3
184,1/1/2023 3:00,4,Tagore Town,25.4358,81.8867,52,39.04,120,61,2,58,Cold Wave,Sunday,1,,1.16,35,7,5,5,3
188,1/1/2023 3:00,8,Jhunsi,25.4326,81.9061,17,51.58,120,62,5,53,Cold Wave,Sunday,1,,0.36,11,3,0,3,3
189,1/1/2023 3:00,9,MNNIT Gate,25.492,81.8639,34,45.25,120,59,3,58,Cold Wave,Sunday,1,,0.72,15,5,2,12,3
193,1/1/2023 3:10,3,Chowk,25.4314,81.8437,31,34.71,120,63,3,54,Heavy Rain,Sunday,1,,0.5,21,2,2,6,3
198,1/1/2023 3:10,8,Jhunsi,25.4326,81.9061,35,34.03,120,65,5,50,Heavy Rain,Sunday,1,,0.81,22,6,2,5,3
207,1/1/2023 3:20,7,Phaphamau,25.4945,81.8686,56,44.24,120,50,4,66,Clear,Sunday,1,,1.09,32,5,6,13,3
208,1/1/2023 3:20,8,Jhunsi,25.4326,81.9061,58,40.82,120,56,5,59,Clear,Sunday,1,,0.93,41,2,6,9,3
213,1/1/2023 3:30,3,Chowk,25.4314,81.8437,31,50.36,120,56,5,59,Clear,Sunday,1,,0.56,20,1,5,5,3
223,1/1/2023 3:40,3,Chowk,25.4314,81.8437,39,49.75,120,61,6,53,Clear,Sunday,1,,0.79,24,4,4,7,3
225,1/1/2023 3:40,5,Naini Bridge,25.4088,81.8592,60,39.58,120,61,4,55,Clear,Sunday,1,,1.47,30,9,8,13,3
226,1/1/2023 3:40,6,Allahabad Junction,25.4358,81.8307,59,38.09,120,58,5,57,Clear,Sunday,1,,1.09,33,4,7,15,3
234,1/1/2023 3:50,4,Tagore Town,25.4675,81.8867,37,50.15,120,55,2,63,Clear,Sunday,1,,0.53,23,1,3,10,3
235,1/1/2023 3:50,5,Naini Bridge,25.4088,81.8592,39,47.52,120,52,3,65,Clear,Sunday,1,,0.66,26,2,4,7,3
236,1/1/2023 3:50,6,Allahabad Junction,25.4358,81.8307,60,41.05,120,56,6,58,Clear,Sunday,1,,1.49,29,8,10,13,3
238,1/1/2023 3:50,8,Jhunsi,25.4326,81.9061,21,49.97,120,61,5,54,Clear,Sunday,1,,0.41,13,2,2,19,3
239,1/1/2023 3:50,9,MNNIT Gate,25.492,81.8639,81,19.24,120,61,6,53,Clear,Sunday,1,Accident,1.31,55,4,7,15,3
242,1/1/2023 4:00,2,Katra,25.455,81.8463,42,43.65,120,64,5,51,Clear,Sunday,1,New Year Celebration,0.86,25,4,5,8,4
252,1/1/2023 4:10,2,Katra,25.455,81.8463,53,44.79,120,56,4,60,Clear,Sunday,1,New Year Celebration,0.85,34,3,4,12,4
254,1/1/2023 4:10,4,Tagore Town,25.4675,81.8867,98,17.48,120,60,5,55,Clear,Sunday,1,Roadwork,1.96,52,10,10,26,4
255,1/1/2023 4:10,5,Naini Bridge,25.4088,81.8592,19,51.34,120,59,6,55,Clear,Sunday,1,,0.43,8,4,0,7,4
257,1/1/2023 4:10,7,Phaphamau,25.4945,81.8686,88,37.49,120,58,3,59,Clear,Sunday,1,,1.62,58,9,5,16,4
261,1/1/2023 4:20,1,Civil Lines,25.4486,81.8333,109,30.77,120,52,5,63,Clear,Sunday,1,New Year Celebration,1.46,76,3,6,24,4
265,1/1/2023 4:20,5,Naini Bridge,25.4088,81.8592,17,51.01,120,49,5,66,Clear,Sunday,1,,0.34,9,1,3,4,4
266,1/1/2023 4:20,6,Allahabad Junction,25.4358,81.8307,56,41.37,120,63,6,51,Clear,Sunday,1,,1.15,30,4,9,13,4
274,1/1/2023 4:30,4,Tagore Town,25.4675,81.8867,57,21.92,120,56,4,60,Clear,Sunday,1,Roadwork,1.2,34,7,5,11,4
275,1/1/2023 4:30,5,Naini Bridge,25.4088,81.8592,34,46.6,120,51,5,64,Clear,Sunday,1,,0.46,21,1,2,10,4
276,1/1/2023 4:30,6,Allahabad Junction,25.4358,81.8307,50,47.76,120,62,5,53,Clear,Sunday,1,,0.79,34,3,3,10,4
277,1/1/2023 4:30,7,Phaphamau,25.4945,81.8686,66,40.16,120,54,4,62,Clear,Sunday,1,,1.33,37,6,8,15,4
278,1/1/2023 4:30,8,Jhunsi,25.4326,81.9061,42,42.2,120,54,3,63,Clear,Sunday,1,,0.76,27,3,4,8,4
281,1/1/2023 4:40,1,Civil Lines,25.4486,81.8333,43,31.39,120,61,4,55,Heavy Rain,Sunday,1,New Year Celebration,1.95,24,5,5,9,4
283,1/1/2023 4:40,3,Chowk,25.4314,81.8437,37,30.09,120,62,4,54,Heavy Rain,Sunday,1,,0.7,22,3,4,8,4
284,1/1/2023 4:40,4,Tagore Town,25.4675,81.8867,21,18.75,120,59,6,55,Heavy Rain,Sunday,1,Roadwork,0.37,14,2,1,4,4
286,1/1/2023 4:40,6,Allahabad Junction,25.4358,81.8307,25,33.07,120,49,4,67,Heavy Rain,Sunday,1,,0.44,13,2,2,8,4
288,1/1/2023 4:40,8,Jhunsi,25.4326,81.9061,41,34.53,120,68,5,47,Heavy Rain,Sunday,1,,0.74,25,3,4,9,4
295,1/1/2023 4:50,5,Naini Bridge,25.4088,81.8592,73,34.54,120,58,5,57,Heatwave,Sunday,1,,1.61,44,9,8,12,4
296,1/1/2023 4:50,6,Allahabad Junction,25.4358,81.8307,16,54.07,120,55,1,64,Heatwave,Sunday,1,,0.22,13,1,0,2,4
299,1/1/2023 4:50,9,MNNIT Gate,25.492,81.8639,59,19.57,120,58,5,57,Heatwave,Sunday,1,Accident,1.15,36,6,5,12,4
302,1/1/2023 5:00,2,Katra,25.455,81.8463,104,32.4,120,65,4,51,Clear,Sunday,1,New Year Celebration,2.03,67,11,8,18,5
304,1/1/2023 5:00,4,Tagore Town,25.4675,81.8867,71,21.09,120,53,5,62,Clear,Sunday,1,Roadwork,1.17,45,4,6,16,5
305,1/1/2023 5:00,5,Naini Bridge,25.4088,81.8592,57,41.87,120,56,5,59,Clear,Sunday,1,,0.99,41,3,6,7,5
307,1/1/2023 5:00,7,Phaphamau,25.4945,81.8686,83,35.21,120,64,6,50,Clear,Sunday,1,,1.98,44,14,7,18,5
315,1/1/2023 5:10,5,Naini Bridge,25.4088,81.8592,27,46.06,120,57,3,54,Clear,Sunday,1,,0.47,19,10,2,4,5
316,1/1/2023 5:10,6,Allahabad Junction,25.4358,81.8307,41,47.21,120,61,5,54,Clear,Sunday,1,,0.86,26,6,2,7,5
318,1/1/2023 5:10,8,Jhunsi,25.4326,81.9061,30,45.89,120,61,5,54,Clear,Sunday,1,,0.6,19,3,3,5,5
320,1/1/2023 5:10,10,Minto Park,25.4352,81.882,46,43.27,120,61,4,55,Clear,Sunday,1,,1.06,24,6,6,10,5
322,1/1/2023 5:20,2,Katra,25.455,81.8463,55,38.2,120,61,4,55,Clear,Sunday,1,New Year Celebration,1.29,31,10,3,11,5
324,1/1/2023 5:20,4,Tagore Town,25.4675,81.8867,88,18.15,120,54,5,61,Clear,Sunday,1,Roadwork,1.65,56,7,9,16,5
327,1/1/2023 5:20,7,Phaphamau,25.4945,81.8686,31,49.51,120,63,5,52,Clear,Sunday,1,,0.72,20,4,4,3,5
332,1/1/2023 5:30,2,Katra,25.455,81.8463,102,33.73,120,50,4,66,Clear,Sunday,1,New Year Celebration,1.83,64,9,7,22,5
334,1/1/2023 5:30,4,Tagore Town,25.4675,81.8867,75,18.88,120,62,6,52,Clear,Sunday,1,Roadwork,1.35,44,5,8,18,5
338,1/1/2023 5:30,8,Jhunsi,25.4326,81.9061,66,37.87,120,60,3,57,Clear,Sunday,1,,1.49,35,9,7,15,5
339,1/1/2023 5:30,9,MNNIT Gate,25.492,81.8639,56,46.07,120,53,6,61,Clear,Sunday,1,,0.98,37,10,3,11,5
340,1/1/2023 5:30,10,Minto Park,25.4352,81.882,67,39.95,120,65,5,50,Clear,Sunday,1,,0.93,46,4,1,16,5
341,1/1/2023 5:40,1,Civil Lines,25.4486,81.8333,106,35.16,120,64,5,51,Clear,Sunday,1,New Year Celebration,2.16,61,11,11,23,5
342,1/1/2023 5:40,2,Katra,25.455,81.8463,69,38.81,120,61,6,53,Clear,Sunday,1,New Year Celebration,1.59,36,12,4,17,5
348,1/1/2023 5:40,8,Jhunsi,25.4326,81.9061,60,42.62,120,61,5,54,Clear,Sunday,1,,1.1,37,7,2,14,5
351,1/1/2023 5:50,1,Civil Lines,25.4486,81.8333,54,35.09,120,69,4,47,Fog,Sunday,1,New Year Celebration,1.48,28,8,11,7,5
352,1/1/2023 5:50,2,Katra,25.455,81.8463,47,36.33,120,62,2,56,Fog,Sunday,1,New Year Celebration,0.74,33,2,4,8,5
354,1/1/2023 5:50,4,Tagore Town,25.4675,81.8867,62,15.92,120,59,5,56,Fog,Sunday,1,Roadwork,1.42,38,7,9,8,5
359,1/1/2023 5:50,9,MNNIT Gate,25.492,81.8639,65,31.15,120,56,6,58,Fog,Sunday,1,,1.34,38,8,5,14,5
360,1/1/2023 5:50,10,Minto Park,25.4352,81.882,35,42.69,120,55,4,61,Fog,Sunday,0,,0.47,22,1,2,10,5
361,1/1/2023 6:00,1,Civil Lines,25.4486,81.8333,88,35.33,120,64,3,53,Clear,Sunday,1,New Year Celebration,1.66,60,10,4,14,6
362,1/1/2023 6:00,2,Katra,25.455,81.8463,94,34.74,120,62,3,55,Clear,Sunday,1,New Year Celebration,2.14,52,13,10,19,6
363,1/1/2023 6:00,3,Chowk,25.4314,81.8437,44,43.7,120,55,4,61,Clear,Sunday,1,,0.93,26,6,3,9,6
366,1/1/2023 6:00,6,Allahabad Junction,25.4358,81.8307,62,40.96,120,63,3,54,Clear,Sunday,1,,1.44,38,8,8,8,6
370,1/1/2023 6:00,10,Minto Park,25.4352,81.882,79,37.46,120,50,6,64,Clear,Sunday,1,,1.95,49,5,5,20,6
371,1/1/2023 6:10,1,Civil Lines,25.4486,81.8333,98,37.06,120,60,6,54,Fog,Sunday,1,New Year Celebration,0.86,34,4,3,9,6
373,1/1/2023 6:10,3,Chowk,25.4314,81.8437,23,41.97,120,56,5,59,Fog,Sunday,1,,0.51,13,2,4,4,6
376,1/4/2023 12:00,6,Allahabad Junction,25.4358,81.8307,46,34.56,120,57,5,58,Fog,Sunday,1,,0.98,32,7,2,5,12
379,1/1/2023 6:10,9,MNNIT Gate,25.492,81.8639,47,34.5,120,62,4,54,Fog,Sunday,1,,0.81,25,4,3,15,6
389,1/1/2023 6:20,9,MNNIT Gate,25.492,81.8639,52,40.14,120,58,5,57,Clear,Sunday,1,,0.94,35,5,3,9,6
391,1/1/2023 6:30,1,Civil Lines,25.4486,81.8333,83,33.64,120,73,1,46,Light Rain,Sunday,1,New Year Celebration,1.74,52,7,12,12,6
395,1/1/2023 6:30,5,Naini Bridge,25.4088,81.8592,42,41.34,120,60,5,55,Light Rain,Sunday,0,,0.97,27,8,1,6,6
396,1/1/2023 6:30,6,Allahabad Junction,25.4358,81.8307,57,39.35,120,55,5,60,Light Rain,Sunday,1,,0.87,39,2,5,11,6
398,1/1/2023 6:30,8,Jhunsi,25.4326,81.9061,63,32.84,120,51,5,64,Light Rain,Sunday,1,,1.23,38,6,6,13,6
399,1/1/2023 6:30,9,MNNIT Gate,25.492,81.8639,21,49.86,120,62,4,54,Light Rain,Sunday,1,,0.35,16,1,2,2,6
400,1/1/2023 6:30,10,Minto Park,25.4352,81.882,43,40.01,120,56,5,59,Light Rain,Sunday,1,,0.94,25,5,5,8,6
403,1/1/2023 6:40,3,Chowk,25.4314,81.8437,50,39.81,120,54,5,61,Heatwave,Sunday,1,,1.05,31,5,6,8,6
404,1/1/2023 6:40,4,Tagore Town,25.4675,81.8867,31,46.52,120,53,4,63,Heatwave,Sunday,1,,0.72,21,4,4,19,6
405,1/1/2023 6:40,5,Naini Bridge,25.4088,81.8592,45,43.26,120,46,5,69,Heatwave,Sunday,1,,0.94,30,4,6,5,6
411,1/1/2023 6:50,1,Civil Lines,25.4486,81.8333,98,37.7,120,62,5,53,Cold Wave,Sunday,1,New Year Celebration,1.26,32,7,6,15,6
412,1/1/2023 6:50,2,Katra,25.455,81.8463,80,36.13,120,58,6,56,Cold Wave,Sunday,1,New Year Celebration,1.88,46,9,13,12,6
414,1/1/2023 6:50,4,Tagore Town,25.4675,81.8867,58,38.23,120,64,6,50,Cold Wave,Sunday,1,,1.4,36,8,8,6,6
415,1/1/2023 6:50,5,Naini Bridge,25.4088,81.8592,98,48.08,120,54,4,62,Cold Wave,Sunday,1,,0.58,26,1,4,6,6
425,1/1/2023 7:00,5,Naini Bridge,25.4088,81.8592,73,40.71,120,69,5,45,Clear,Sunday,1,,1.28,47,6,5,15,7
427,1/1/2023 7:00,7,Phaphamau,25.4945,81.8686,124,32.94,120,51,3,66,Clear,Sunday,1,,2.4,72,11,13,28,7
428,1/1/2023 7:00,8,Jhunsi,25.4326,81.9061,52,42.95,120,65,3,52,Clear,Sunday,1,,1.02,31,5,5,11,7
430,1/1/2023 7:00,10,Minto Park,25.4352,81.882,81,35.51,120,57,4,59,Clear,Sunday,1,,1.52,42,7,8,19,7
434,1/1/2023 7:10,4,Tagore Town,25.4675,81.8867,110,33.76,120,55,4,61,Clear,Sunday,1,,2.38,67,13,12,18,7
436,1/1/2023 7:10,6,Allahabad Junction,25.4358,81.8307,91,36.37,120,59,6,55,Clear,Sunday,1,,1.83,51,10,8,22,7
437,1/1/2023 7:10,7,Phaphamau,25.4945,81.8686,130,32.83,120,52,6,62,Clear,Sunday,1,,2.78,78,17,11,24,7
440,1/1/2023 7:10,6,Minto Park,25.4352,81.882,58,41.85,120,67,5,48,Clear,Sunday,1,,1.33,30,9,5,14,7
442,1/1/2023 7:20,2,Katra,25.455,81.8463,148,26.39,120,61,3,56,Clear,Sunday,1,New Year Celebration,2.68,89,13,11,35,7
447,1/1/2023 7:20,7,Phaphamau,25.4945,81.8686,128,33.18,120,64,3,53,Clear,Sunday,1,,2.57,87,13,12,16,7
449,1/1/2023 7:20,9,MNNIT Gate,25.492,81.8639,82,37.48,120,50,3,67,Clear,Sunday,1,,1.54,44,7,8,19,7
453,1/1/2023 7:30,3,Chowk,25.4314,81.8437,88,36.87,120,67,6,47,Clear,Sunday,1,,1.89,53,10,10,15,7
457,1/1/2023 7:30,7,Phaphamau,25.4945,81.8686,132,29.37,120,62,4,54,Clear,Sunday,1,,2.48,78,11,13,30,7
458,1/1/2023 7:30,8,Jhunsi,25.4326,81.9061,111,36.1,120,65,5,50,Clear,Sunday,1,,2.7,63,19,10,19,7
459,1/1/2023 7:30,9,MNNIT Gate,25.492,81.8639,85,38.05,120,62,5,53,Clear,Sunday,1,,1.86,50,10,10,15,7
460,1/1/2023 7:30,10,Minto Park,25.4352,81.882,119,30.25,120,64,6,50,Clear,Sunday,1,,2.76,65,17,13,24,7
464,1/1/2023 7:40,4,Tagore Town,25.4675,81.8867,104,36.4,120,66,5,49,Clear,Sunday,1,,1.88,58,6,13,27,7
465,1/1/2023 7:40,5,Naini Bridge,25.4358,81.8592,90,37.24,120,64,5,51,Clear,Sunday,1,,1.8,54,9,9,18,7
466,1/1/2023 7:40,6,Allahabad Junction,25.4358,81.8307,0,57.97,120,53,4,63,Clear,Sunday,1,,0,0,0,0,0,7
470,1/1/2023 7:40,10,Minto Park,25.4352,81.882,61,39.5,120,68,3,49,Clear,Sunday,1,,1.46,23,9,8,21,7
471,1/1/2023 7:50,1,Civil Lines,25.4486,81.8333,100,29.74,120,64,6,50,Light Rain,Sunday,1,New Year Celebration,1.72,62,7,8,23,7
473,1/1/2023 7:50,3,Chowk,25.4314,81.8437,69,35.28,120,58,5,57,Light Rain,Sunday,1,,1.17,49,6,3,11,7
479,1/4/2023 12:00,9,MNNIT Gate,25.492,81.8639,112,30.98,120,57,6,57,Light Rain,Sunday,1,,2.3,63,13,10,26,12
481,1/1/2023 8:00,1,Civil Lines,25.4486,81.8333,138,29.39,120,61,4,54,Clear,Sunday,1,New Year Celebration,2.62,91,12,13,22,8
482,1/1/2023 8:00,6,Katra,25.455,81.8463,166,29.03,120,71,4,45,Clear,Sunday,1,New Year Celebration,3.29,98,21,9,38,8
